,victim_AS,victim_peer,timestamp,event_type,label,hijacker_AS,start_time
,263534,28368,1584443100,edges,4,[],2020-03-17 11:05:00
,263600,60503,1584443400,edges,4,[],2020-03-17 11:10:00
,264200,52320,1584446100,edges,4,[],2020-03-17 11:55:00
,264210,61784,1584439800,edges,4,[],2020-03-17 10:10:00
,264215,28663,1584350700,edges,4,[],2020-03-16 09:25:00
,264562,197595,1584439500,edges,4,[],2020-03-17 10:05:00
,264770,61512,1584445800,edges,4,[],2020-03-17 11:50:00
,264923,262589,1584350700,edges,4,[],2020-03-16 09:25:00
,264972,262287,1584441900,edges,4,[],2020-03-17 10:45:00
,265043,264409,1584446100,edges,4,[],2020-03-17 11:55:00
,265232,1916,1584442200,edges,4,[],2020-03-17 10:50:00
,265277,28663,1584348900,edges,4,[],2020-03-16 08:55:00
,265914,6939,1584445500,edges,4,[],2020-03-17 11:45:00
,266121,262589,1584443700,edges,4,[],2020-03-17 11:15:00
,266202,265382,1584440700,edges,4,[],2020-03-17 10:25:00
,266931,53202,1584445200,edges,4,[],2020-03-17 11:40:00
,266968,266154,1584439800,edges,4,[],2020-03-17 10:10:00
,267426,264568,1584439800,edges,4,[],2020-03-17 10:10:00
,267496,52863,1584446400,edges,4,[],2020-03-17 12:00:00
,267613,21414,1584350100,edges,4,[],2020-03-16 09:15:00
,268654,61681,1584348600,edges,4,[],2020-03-16 08:50:00
,268721,61648,1584441300,edges,4,[],2020-03-17 10:35:00
,269027,52872,1584445200,edges,4,[],2020-03-17 11:40:00
,269366,28634,1584445500,edges,4,[],2020-03-17 11:45:00
,269724,266038,1584446400,edges,4,[],2020-03-17 12:00:00
,327771,37035,1584445800,edges,4,[],2020-03-17 11:50:00
,327831,6939,1584446400,edges,4,[],2020-03-17 12:00:00
,328013,37656,1584348900,edges,4,[],2020-03-16 08:55:00
,328015,37662,1584446400,edges,4,[],2020-03-17 12:00:00
,328112,327761,1584351600,edges,4,[],2020-03-16 09:40:00
,393984,11426,1584445800,edges,4,[],2020-03-17 11:50:00
,394111,33597,1584439500,edges,4,[],2020-03-17 10:05:00
,395417,393417,1584349500,edges,4,[],2020-03-16 09:05:00
,395570,17143,1584349200,edges,4,[],2020-03-16 09:00:00
,395979,7725,1584440400,edges,4,[],2020-03-17 10:20:00
