,level_0,index,victim_AS,timestamp,event_type,label,hijacker_AS,start_time
28,79,91,36280,1585004400,edges,4,[],2020-03-23 23:00:00
29,81,21,36994,1585005000,edges,4,[],2020-03-23 23:10:00
30,83,51,37187,1585005000,edges,4,[],2020-03-23 23:10:00
31,85,309,37497,1585003500,edges,4,[],2020-03-23 22:45:00
32,86,116,38740,1585008300,edges,4,[],2020-03-24 00:05:00
33,87,85,39533,1585004700,edges,4,[],2020-03-23 23:05:00
34,89,8,39832,1585005000,edges,4,[],2020-03-23 23:10:00
35,90,160,39896,1585008000,edges,4,[],2020-03-24 00:00:00
36,91,325,40120,1585003200,edges,4,[],2020-03-23 22:40:00
37,92,114,40317,1585008300,edges,4,[],2020-03-24 00:05:00
38,93,90,40327,1585004400,edges,4,[],2020-03-23 23:00:00
39,95,93,41327,1585004100,edges,4,[],2020-03-23 22:55:00
40,105,153,41779,1585008000,edges,4,[],2020-03-24 00:00:00
41,106,54,42794,1585005000,edges,4,[],2020-03-23 23:10:00
42,108,26,42908,1585005000,edges,4,[],2020-03-23 23:10:00
43,111,195,43045,1585008000,edges,4,[],2020-03-24 00:00:00
44,112,36,43070,1585005000,edges,4,[],2020-03-23 23:10:00
45,115,10,43366,1585005000,edges,4,[],2020-03-23 23:10:00
46,116,15,43727,1585005000,edges,4,[],2020-03-23 23:10:00
47,118,11,44034,1585005000,edges,4,[],2020-03-23 23:10:00
48,119,191,44332,1585008000,edges,4,[],2020-03-24 00:00:00
49,120,39,44735,1585005000,edges,4,[],2020-03-23 23:10:00
50,122,108,44799,1585008300,edges,4,[],2020-03-24 00:05:00
51,123,359,44894,1585002900,edges,4,[],2020-03-23 22:35:00
52,124,5,44901,1585005000,edges,4,[],2020-03-23 23:10:00
53,125,45,45489,1585005000,edges,4,[],2020-03-23 23:10:00
54,127,194,47114,1585008000,edges,4,[],2020-03-24 00:00:00
55,128,44,47147,1585005000,edges,4,[],2020-03-23 23:10:00
56,130,118,47399,1585008300,edges,4,[],2020-03-24 00:05:00
57,131,163,47493,1585008000,edges,4,[],2020-03-24 00:00:00
58,132,162,47868,1585008000,edges,4,[],2020-03-24 00:00:00
59,133,211,47957,1585005000,edges,4,[],2020-03-23 23:10:00
60,134,304,48152,1585003500,edges,4,[],2020-03-23 22:45:00
61,135,19,48417,1585005000,edges,4,[],2020-03-23 23:10:00
62,137,4,48858,1585005000,edges,4,[],2020-03-23 23:10:00
63,138,141,49025,1585008000,edges,4,[],2020-03-24 00:00:00
64,139,216,49033,1585005000,edges,4,[],2020-03-23 23:10:00
65,140,176,49985,1585008000,edges,4,[],2020-03-24 00:00:00
66,141,49,51167,1585005000,edges,4,[],2020-03-23 23:10:00
67,143,89,51185,1585004400,edges,4,[],2020-03-23 23:00:00
68,145,134,51263,1585008000,edges,4,[],2020-03-24 00:00:00
69,146,62,51265,1585004700,edges,4,[],2020-03-23 23:05:00
70,152,188,51331,1585008000,edges,4,[],2020-03-24 00:00:00
71,153,177,52092,1585008000,edges,4,[],2020-03-24 00:00:00
72,154,209,52320,1585005000,edges,4,[],2020-03-23 23:10:00
73,155,135,52375,1585008000,edges,4,[],2020-03-24 00:00:00
74,156,398,52508,1585001700,edges,4,[],2020-03-23 22:15:00
75,157,376,52675,1585001700,edges,4,[],2020-03-23 22:15:00
76,169,381,52863,1585001700,edges,4,[],2020-03-23 22:15:00
77,170,338,52887,1585003200,edges,4,[],2020-03-23 22:40:00
78,171,332,52914,1585003200,edges,4,[],2020-03-23 22:40:00
79,172,327,52967,1585003200,edges,4,[],2020-03-23 22:40:00
80,173,329,52970,1585003200,edges,4,[],2020-03-23 22:40:00
81,174,393,53070,1585001700,edges,4,[],2020-03-23 22:15:00
82,175,83,53169,1585004700,edges,4,[],2020-03-23 23:05:00
83,177,121,53828,1585008300,edges,4,[],2020-03-24 00:05:00
84,178,55,54994,1585005000,edges,4,[],2020-03-23 23:10:00
85,180,124,55256,1585008300,edges,4,[],2020-03-24 00:05:00
86,181,301,55805,1585003800,edges,4,[],2020-03-23 22:50:00
87,182,28,56654,1585005000,edges,4,[],2020-03-23 23:10:00
88,184,1,56800,1585005000,edges,4,[],2020-03-23 23:10:00
89,185,204,57169,1585005000,edges,4,[],2020-03-23 23:10:00
90,186,158,57279,1585008000,edges,4,[],2020-03-24 00:00:00
91,187,152,57553,1585008000,edges,4,[],2020-03-24 00:00:00
92,188,394,57695,1585001700,edges,4,[],2020-03-23 22:15:00
93,189,147,57728,1585008000,edges,4,[],2020-03-24 00:00:00
94,190,9,59607,1585005000,edges,4,[],2020-03-23 23:10:00
95,191,140,60068,1585008000,edges,4,[],2020-03-24 00:00:00
96,192,59,60294,1585005000,edges,4,[],2020-03-23 23:10:00
97,194,129,60486,1585008300,edges,4,[],2020-03-24 00:05:00
98,196,102,60800,1585008600,edges,4,[],2020-03-24 00:10:00
99,197,171,61296,1585008000,edges,4,[],2020-03-24 00:00:00
100,198,3,61317,1585005000,edges,4,[],2020-03-23 23:10:00
101,201,164,61425,1585008000,edges,4,[],2020-03-24 00:00:00
102,202,199,61438,1585008000,edges,4,[],2020-03-24 00:00:00
103,203,390,61568,1585001700,edges,4,[],2020-03-23 22:15:00
104,204,351,61644,1585003200,edges,4,[],2020-03-23 22:40:00
105,205,320,61792,1585003200,edges,4,[],2020-03-23 22:40:00
106,206,166,62011,1585008000,edges,4,[],2020-03-24 00:00:00
107,207,155,62099,1585008000,edges,4,[],2020-03-24 00:00:00
108,208,213,134512,1585005000,edges,4,[],2020-03-23 23:10:00
109,209,215,136106,1585005000,edges,4,[],2020-03-23 23:10:00
110,210,113,136620,1585008300,edges,4,[],2020-03-24 00:05:00
111,211,197,196735,1585008000,edges,4,[],2020-03-24 00:00:00
112,212,174,196843,1585008000,edges,4,[],2020-03-24 00:00:00
113,213,159,197029,1585008000,edges,4,[],2020-03-24 00:00:00
114,214,32,197595,1585005000,edges,4,[],2020-03-23 23:10:00
115,216,20,198930,1585005000,edges,4,[],2020-03-23 23:10:00
116,218,189,199298,1585008000,edges,4,[],2020-03-24 00:00:00
117,219,179,199420,1585008000,edges,4,[],2020-03-24 00:00:00
118,220,58,199483,1585005000,edges,4,[],2020-03-23 23:10:00
119,222,148,199490,1585008000,edges,4,[],2020-03-24 00:00:00
120,223,184,199657,1585008000,edges,4,[],2020-03-24 00:00:00
121,224,133,199665,1585008000,edges,4,[],2020-03-24 00:00:00
122,225,0,199837,1585005000,edges,4,[],2020-03-23 23:10:00
123,226,25,200781,1585005000,edges,4,[],2020-03-23 23:10:00
124,228,161,200847,1585008000,edges,4,[],2020-03-24 00:00:00
125,229,100,200922,1585008600,edges,4,[],2020-03-24 00:10:00
126,230,146,200985,1585008000,edges,4,[],2020-03-24 00:00:00
127,231,167,201548,1585008000,edges,4,[],2020-03-24 00:00:00
128,232,12,201877,1585005000,edges,4,[],2020-03-23 23:10:00
129,233,370,202020,1585002000,edges,4,[],2020-03-23 22:20:00
130,235,138,202895,1585008000,edges,4,[],2020-03-24 00:00:00
131,236,208,202932,1585005000,edges,4,[],2020-03-23 23:10:00
132,237,196,203072,1585008000,edges,4,[],2020-03-24 00:00:00
133,238,302,203929,1585003500,edges,4,[],2020-03-23 22:45:00
134,239,182,204409,1585008000,edges,4,[],2020-03-24 00:00:00
135,240,392,205678,1585001700,edges,4,[],2020-03-23 22:15:00
136,242,354,205782,1585003200,edges,4,[],2020-03-23 22:40:00
137,243,175,207187,1585008000,edges,4,[],2020-03-24 00:00:00
138,244,200,207534,1585005000,edges,4,[],2020-03-23 23:10:00
139,245,63,208034,1585004700,edges,4,[],2020-03-23 23:05:00
140,285,310,208293,1585003500,edges,4,[],2020-03-23 22:45:00
141,286,185,208895,1585008000,edges,4,[],2020-03-24 00:00:00
142,287,92,262375,1585004100,edges,4,[],2020-03-23 22:55:00
143,289,352,262412,1585003200,edges,4,[],2020-03-23 22:40:00
144,290,123,262424,1585008300,edges,4,[],2020-03-24 00:05:00
145,291,361,262450,1585002900,edges,4,[],2020-03-23 22:35:00
146,292,335,262470,1585003200,edges,4,[],2020-03-23 22:40:00
147,293,324,262512,1585003200,edges,4,[],2020-03-23 22:40:00
148,294,127,262589,1585008300,edges,4,[],2020-03-24 00:05:00
149,295,346,262614,1585003200,edges,4,[],2020-03-23 22:40:00
150,296,43,262732,1585005000,edges,4,[],2020-03-23 23:10:00
151,298,375,262757,1585001700,edges,4,[],2020-03-23 22:15:00
152,299,323,262763,1585003200,edges,4,[],2020-03-23 22:40:00
153,300,33,262773,1585005000,edges,4,[],2020-03-23 23:10:00
154,302,151,262807,1585008000,edges,4,[],2020-03-24 00:00:00
155,307,334,263027,1585003200,edges,4,[],2020-03-23 22:40:00
156,308,380,263152,1585001700,edges,4,[],2020-03-23 22:15:00
157,309,348,263262,1585003200,edges,4,[],2020-03-23 22:40:00
158,310,342,263278,1585003200,edges,4,[],2020-03-23 22:40:00
159,311,103,263482,1585008600,edges,4,[],2020-03-24 00:10:00
160,312,369,263592,1585002000,edges,4,[],2020-03-23 22:20:00
161,313,339,263627,1585003200,edges,4,[],2020-03-23 22:40:00
162,314,397,263702,1585001700,edges,4,[],2020-03-23 22:15:00
163,315,139,263841,1585008000,edges,4,[],2020-03-24 00:00:00
164,328,349,263876,1585003200,edges,4,[],2020-03-23 22:40:00
165,329,345,263923,1585003200,edges,4,[],2020-03-23 22:40:00
166,330,96,263940,1585004100,edges,4,[],2020-03-23 22:55:00
167,332,333,264083,1585003200,edges,4,[],2020-03-23 22:40:00
168,333,341,264094,1585003200,edges,4,[],2020-03-23 22:40:00
169,334,356,264125,1585003200,edges,4,[],2020-03-23 22:40:00
170,335,343,264135,1585003200,edges,4,[],2020-03-23 22:40:00
171,336,379,264170,1585001700,edges,4,[],2020-03-23 22:15:00
172,337,395,264189,1585001700,edges,4,[],2020-03-23 22:15:00
173,338,318,264327,1585003200,edges,4,[],2020-03-23 22:40:00
174,339,300,264460,1585003800,edges,4,[],2020-03-23 22:50:00
175,340,326,264596,1585003200,edges,4,[],2020-03-23 22:40:00
176,345,363,264998,1585002900,edges,4,[],2020-03-23 22:35:00
177,346,344,265149,1585003200,edges,4,[],2020-03-23 22:40:00
178,347,330,265152,1585003200,edges,4,[],2020-03-23 22:40:00
179,348,347,265202,1585003200,edges,4,[],2020-03-23 22:40:00
180,349,321,265354,1585003200,edges,4,[],2020-03-23 22:40:00
181,350,70,265359,1585004700,edges,4,[],2020-03-23 23:05:00
182,352,364,265442,1585002900,edges,4,[],2020-03-23 22:35:00
183,353,374,265876,1585001700,edges,4,[],2020-03-23 22:15:00
184,354,66,265918,1585004700,edges,4,[],2020-03-23 23:05:00
185,356,144,265919,1585008000,edges,4,[],2020-03-24 00:00:00
186,357,336,265988,1585003200,edges,4,[],2020-03-23 22:40:00
187,358,358,266299,1585003200,edges,4,[],2020-03-23 22:40:00
188,359,353,266341,1585003200,edges,4,[],2020-03-23 22:40:00
189,360,340,266480,1585003200,edges,4,[],2020-03-23 22:40:00
190,361,319,266521,1585003200,edges,4,[],2020-03-23 22:40:00
191,362,350,266602,1585003200,edges,4,[],2020-03-23 22:40:00
192,363,317,266631,1585003200,edges,4,[],2020-03-23 22:40:00
193,364,372,266896,1585001700,edges,4,[],2020-03-23 22:15:00
194,365,362,267130,1585002900,edges,4,[],2020-03-23 22:35:00
195,366,105,267261,1585008300,edges,4,[],2020-03-24 00:05:00
196,381,331,267346,1585003200,edges,4,[],2020-03-23 22:40:00
197,388,355,268313,1585003200,edges,4,[],2020-03-23 22:40:00
198,389,78,268605,1585004700,edges,4,[],2020-03-23 23:05:00
199,391,322,268645,1585003200,edges,4,[],2020-03-23 22:40:00
200,392,104,268788,1585008300,edges,4,[],2020-03-24 00:05:00
201,393,360,268829,1585002900,edges,4,[],2020-03-23 22:35:00
202,394,328,268924,1585003200,edges,4,[],2020-03-23 22:40:00
203,395,154,268986,1585008000,edges,4,[],2020-03-24 00:00:00
204,398,337,269142,1585003200,edges,4,[],2020-03-23 22:40:00
205,399,396,269667,1585001700,edges,4,[],2020-03-23 22:15:00
